Timestamp,Distancia_cm,Movimiento_PIR,Color_Detectado,RGB_R,RGB_G,RGB_B,Tiempo_Reaccion_ms,Num_Ronda,Acierto,Velocidad_Juego_ms
11891,12,1,Rojo,255,40,40,5269,1,1,772,1
14490,0,1,Rojo,255,40,40,618,2,1,744,2
14643,0,1,Rojo,255,40,40,1,2,1,744,2
17844,0,1,Rojo,255,40,40,621,3,1,716,3
18406,0,1,Rojo,255,40,40,411,3,1,716,3
19119,0,1,Rojo,255,40,40,562,3,1,716,3
22713,0,1,Rojo,255,40,40,414,4,1,688,4
23326,0,1,Rojo,255,40,40,462,4,1,688,4
23888,0,1,Rojo,255,40,40,410,4,1,688,4
25063,0,1,Verde,40,255,40,1023,4,1,688,4
29932,0,1,Rojo,255,40,40,1087,5,1,660,5
30492,0,1,Rojo,255,40,40,408,5,1,660,5
31003,0,1,Rojo,255,40,40,359,5,1,660,5
31619,0,1,Verde,40,255,40,463,5,1,660,5
32079,0,1,Verde,40,255,40,309,5,1,660,5
37495,0,1,Rojo,255,40,40,1035,6,1,632,6
37955,0,1,Rojo,255,40,40,308,6,1,632,6
38515,0,1,Rojo,255,40,40,408,6,1,632,6
39388,0,1,Verde,40,255,40,721,6,1,632,6
39898,0,1,Verde,40,255,40,359,6,1,632,6
40508,0,1,Verde,40,255,40,459,6,1,632,6
47048,0,1,Rojo,255,40,40,1559,7,1,604,7
47558,0,1,Rojo,255,40,40,358,7,1,604,7
48068,0,1,Rojo,255,40,40,358,7,1,604,7
48734,0,1,Verde,40,255,40,514,7,1,604,7
49244,0,1,Verde,40,255,40,359,7,1,604,7
49804,0,1,Verde,40,255,40,409,7,1,604,7
50726,0,1,Verde,40,255,40,771,7,1,604,7
57240,0,1,Rojo,255,40,40,933,8,1,576,8
57802,0,1,Rojo,255,40,40,409,8,1,576,8
58362,0,1,Rojo,255,40,40,409,8,1,576,8
59130,0,1,Verde,40,255,40,616,8,1,576,8
59589,0,1,Verde,40,255,40,307,8,1,576,8
60148,0,1,Verde,40,255,40,407,8,1,576,8
60657,0,1,Verde,40,255,40,357,8,1,576,8
61739,0,1,Rojo,255,40,40,930,8,1,576,8
69573,0,1,Rojo,255,40,40,1654,9,1,548,9
70236,0,1,Rojo,255,40,40,511,9,1,548,9
70848,0,1,Rojo,255,40,40,461,9,1,548,9
71666,0,1,Verde,40,255,40,666,9,1,548,9
72175,0,1,Verde,40,255,40,357,9,1,548,9
72683,0,1,Verde,40,255,40,356,9,1,548,9
73192,0,1,Verde,40,255,40,357,9,1,548,9
73910,0,1,Rojo,255,40,40,566,9,1,548,9
74369,0,1,Rojo,255,40,40,308,9,1,548,9
82343,0,1,Rojo,255,40,40,1194,10,1,520,10
82851,0,1,Rojo,255,40,40,356,10,1,520,10
83361,0,1,Rojo,255,40,40,358,10,1,520,10
84851,0,1,Verde,40,255,40,1338,10,1,520,10
85566,0,1,Verde,40,255,40,563,10,1,520,10
86230,0,1,Verde,40,255,40,510,10,1,520,10
86842,0,1,Verde,40,255,40,461,10,1,520,10
87560,0,1,Rojo,255,40,40,567,10,1,520,10
88069,0,1,Rojo,255,40,40,358,10,1,520,10
89199,0,1,Azul,40,40,255,979,10,1,520,10
97718,0,1,Rojo,255,40,40,1137,11,1,492,11
97869,0,1,Rojo,255,40,40,0,11,1,492,11
100965,0,1,Verde,40,255,40,2944,11,0,492,11
135879,41,1,Ninguno,40,40,40,6012,1,0,772,1
154578,51,1,Ninguno,40,40,40,6049,1,0,772,1
161653,52,1,Rojo,255,40,40,3567,1,1,772,1
165938,0,1,Rojo,255,40,40,2304,2,1,744,2
166811,0,1,Rojo,255,40,40,722,2,0,744,2
177380,12,1,Ninguno,40,40,40,6030,1,0,772,1
186636,34,1,Ninguno,40,40,40,6009,1,0,772,1
195021,35,1,Verde,40,255,40,4524,1,0,772,1
202183,37,1,Verde,40,255,40,3915,1,1,772,1
209539,0,1,Verde,40,255,40,5375,2,1,744,2
209691,0,1,Verde,40,255,40,1,2,1,744,2
215024,0,1,Verde,40,255,40,2752,3,1,716,3
215176,0,1,Verde,40,255,40,0,3,1,716,3
216152,0,1,Verde,40,255,40,825,3,1,716,3
221938,33,1,Verde,40,255,40,2630,4,1,688,4
222090,33,1,Verde,40,255,40,0,4,1,688,4
222242,33,1,Verde,40,255,40,1,4,1,688,4
222394,33,1,Verde,40,255,40,1,4,0,688,4
227609,34,1,Verde,40,255,40,1969,1,1,772,1
231589,0,1,Verde,40,255,40,1998,2,1,744,2
232553,0,1,Verde,40,255,40,812,2,1,744,2
241123,15,1,Ninguno,40,40,40,6015,3,0,716,3
250375,38,1,Ninguno,40,40,40,6005,1,0,772,1
259219,33,1,Azul,40,40,255,5598,1,1,772,1
262982,39,1,Azul,40,40,255,1807,2,1,744,2
263134,39,1,Azul,40,40,255,0,2,1,744,2
268531,39,1,Azul,40,40,255,2840,3,1,716,3
268684,39,1,Azul,40,40,255,1,3,1,716,3
272917,39,1,Verde,40,255,40,4082,3,1,716,3
282099,38,1,Ninguno,40,40,40,6026,4,0,688,4
288349,34,1,Azul,40,40,255,3003,1,0,772,1
297763,22,1,Ninguno,40,40,40,6038,1,0,772,1
307036,9,1,Ninguno,40,40,40,6028,1,0,772,1
316412,21,1,Ninguno,40,40,40,6000,1,0,772,1
328639,22,1,Ninguno,40,40,40,6008,1,0,772,1
337896,20,1,Ninguno,40,40,40,6011,1,0,772,1
357258,24,1,Azul,40,40,255,5808,1,1,772,1
360015,0,1,Azul,40,40,255,776,2,1,744,2
360167,0,1,Azul,40,40,255,0,2,1,744,2
364481,26,1,Azul,40,40,255,1758,3,1,716,3
365713,26,1,Azul,40,40,255,1080,3,1,716,3
365865,26,1,Azul,40,40,255,1,3,0,716,3
372697,21,1,Rojo,255,40,40,3585,1,0,772,1
383921,22,1,Rojo,255,40,40,4100,1,1,772,1
387431,21,1,Rojo,255,40,40,1555,2,1,744,2
387584,21,1,Rojo,255,40,40,2,2,0,744,2
396836,20,1,Ninguno,40,40,40,6006,1,0,772,1
412107,31,1,Verde,40,255,40,3624,1,1,772,1
415692,0,1,Verde,40,255,40,1603,2,1,744,2
420458,0,1,Rojo,255,40,40,4614,2,1,744,2
426451,0,1,Azul,40,40,255,3411,3,0,716,3
436345,12,1,Ninguno,40,40,40,6002,1,0,772,1
470676,7,1,Ninguno,40,40,40,6041,1,0,772,1
514186,6,1,Verde,40,255,40,4703,1,1,772,1
517560,0,1,Verde,40,255,40,1393,2,1,744,2
517711,0,1,Verde,40,255,40,0,2,1,744,2
521582,0,1,Verde,40,255,40,1290,3,1,716,3
522487,0,1,Verde,40,255,40,753,3,1,716,3
525374,0,1,Verde,40,255,40,2735,3,1,716,3
530922,0,1,Verde,40,255,40,2366,4,1,688,4
531176,0,1,Verde,40,255,40,102,4,1,688,4
537354,0,1,Ninguno,40,40,40,6026,4,0,688,4
547288,11,1,Verde,40,255,40,3770,1,1,772,1
555255,0,1,Rojo,255,40,40,5986,2,0,744,2
572500,13,1,Azul,40,40,255,2885,1,1,772,1
577530,0,1,Azul,40,40,255,3048,2,1,744,2
578818,0,1,Rojo,255,40,40,1136,2,1,744,2
587414,0,1,Ninguno,40,40,40,6015,3,0,716,3
597675,34,1,Ninguno,40,40,40,6000,1,0,772,1
606963,34,1,Ninguno,40,40,40,6041,1,0,772,1
618084,32,1,Ninguno,40,40,40,6010,1,0,772,1
629336,29,1,Ninguno,40,40,40,6020,1,0,772,1
651923,31,1,Ninguno,40,40,40,6026,1,0,772,1
738161,14,1,Ninguno,40,40,40,6050,1,0,772,1
758031,52,1,Azul,40,40,255,1555,1,1,772,1
765626,0,1,Azul,40,40,255,5614,2,1,744,2
765777,0,1,Azul,40,40,255,0,2,0,744,2
786165,40,1,Rojo,255,40,40,2528,1,1,772,1
789177,0,1,Verde,40,255,40,1030,2,0,744,2
826692,31,1,Rojo,255,40,40,1444,1,1,772,1
833037,0,1,Azul,40,40,255,4362,2,0,744,2
842952,21,1,Ninguno,40,40,40,6023,1,0,772,1
856991,50,1,Ninguno,40,40,40,6010,1,0,772,1
866634,13,1,Ninguno,40,40,40,6036,1,0,772,1
875887,16,1,Ninguno,40,40,40,6008,1,0,772,1
887714,51,1,Ninguno,40,40,40,6042,1,0,772,1
900990,15,1,Ninguno,40,40,40,6041,1,0,772,1
904367,14,1,Rojo,255,40,40,1,1,0,772,1
913634,15,1,Ninguno,40,40,40,6022,1,0,772,1
939038,7,1,Ninguno,40,40,40,6005,1,0,772,1
